,Description,ConduitType
26267,1/2” Greenfield to emt transi,CONDUIT - EMT
26388,"1-1/4"" EMT",CONDUIT - EMT
26403,"1"" Green field (metal Flex)",CONDUIT - FLEX
26412,"1 1/2"" Rigid conduit",CONDUIT - GRC
26426,2-1/2-STEEL THINWALL CONDUIT,CONDUIT - GRC
26449,"10' sticks of 3"" rigid conduit",CONDUIT - GRC
26463,"10' sticks x 1"" rigid conduit",CONDUIT - GRC
26464,"10' sticks of 2"" Rigid conduit",CONDUIT - GRC
26517,"2 1/2"" EMT Conduit",CONDUIT - EMT
26518,"1 1/4"" EMT Conduit",CONDUIT - EMT
26549,2-1/2-ALUMINUM FLEXIBLE CONDUI,CONDUIT - FLEX
26550,3-ALUMINUM FLEXIBLE CONDUIT,CONDUIT - FLEX
26558,2-1/2-RIGID CONDUIT,CONDUIT - GRC
26606,"3/4"" PVC Conduit",CONDUIT - PVC
26611,"3/4"" PVC coated Rigid Conduit",CONDUIT - GRC
26621,"11/4"" Emt Conduit x 10' Sticks",CONDUIT - EMT
26637,"3/4"" Metallic Flex ( Greenfiel",CONDUIT - FLEX
26708,1 X CLOSE-GALVANIZED CONDUIT N,CONDUIT - GRC
26709,3/4 X CLOSE-GALVANIZED CONDUIT,CONDUIT - GRC
26749,4 X CLOSE-GALVANIZED CONDUIT N,CONDUIT - GRC
26751,1-1/2 X 4-GALVANIZED CONDUIT N,CONDUIT - GRC
26853,RYMCO - EMT 1-1/2IN,CONDUIT - EMT
26854,RYMCO - EMT 2-1/2IN,CONDUIT - EMT
26859,RYMCO - EMT 3IN,CONDUIT - EMT
26867,AF EC754US 1-1/2 STL CMP EMT C,CONDUIT - EMT
26868,AF EC763US 1-1/4 STL CMP EMT C,CONDUIT - EMT
26904,3/8-ALUMINUM FLEXIBLE CONDUIT,CONDUIT - FLEX
26976,"2 1/2"" EMT 30's",CONDUIT - EMT
27091,2-ALUMINUM FLEXIBLE CONDUIT,CONDUIT - FLEX
27122,1 1/2 EMT 30's,CONDUIT - EMT
27158,PIPE EMT,CONDUIT - EMT
27160,"2"" Prefab EMT PIPE",CONDUIT - EMT
27161,1 1/2 PVC Pulling C,CONDUIT - PVC
27597,"10' stick of 3/4"" PVC plumbing",CONDUIT - PVC
27658,"Spatula, Flexible, 5/8"", Sprin",CONDUIT - FLEX
27705,"4"" PVC Conduit 20' Lenghts",CONDUIT - PVC
27710,"2 1/2"" PVC Conduit",CONDUIT - PVC
27716,"1 1/2"" PVC Conduit",CONDUIT - PVC
27720,1” PVC Sched 40,CONDUIT - PVC
27724,"4"" PVC Conduit ",CONDUIT - PVC
27726,PVC COND 4 22015-003BO REFUSED,CONDUIT - PVC
27737,"1"" PVC Conduit",CONDUIT - PVC
27754,1”  PVC SCHEDULE 40,CONDUIT - PVC
27761,1” PVC MA,CONDUIT - PVC
27762,1 1/2” PVC MA,CONDUIT - PVC
27764,2” PVC MA,CONDUIT - PVC
27769,"1"" GRC",CONDUIT - GRC
27771,"4"" GRC",CONDUIT - GRC
27773,"1-1/2"" GRC ",CONDUIT - GRC
27781,3/4” PVC Sched 40,CONDUIT - PVC
27796,3/4” PVC SCHD 40,CONDUIT - PVC
27800,3/4” PVC SCHED 40,CONDUIT - PVC
27802,3/4” PVC MA,CONDUIT - PVC
27819,1” Sched 40 PVC,CONDUIT - PVC
27821,3” PVC SCHED 40,CONDUIT - PVC
27826,2” PVC SCHED 40,CONDUIT - PVC
27837,3/4 Schedule 40 PVC Conduit,CONDUIT - PVC
27838,1” Schedule 40 PVC Conduit,CONDUIT - PVC
27840,3/4” Schedule 40 Pvc,CONDUIT - PVC
27841,1” Schedule 40 Pvc,CONDUIT - PVC
27842,2” Schedule 40 Pvc,CONDUIT - PVC
27843,2 1/2” Schedule 40 Pvc,CONDUIT - PVC
27844,3” Schedule 40 Pvc,CONDUIT - PVC
27846,2 1/2” Pvc Scedule 40 Conduit,CONDUIT - PVC
27869,PVC 006272,CONDUIT - PVC
27871,"PVC CONDUIT 2"" SCHEDULE-40",CONDUIT - PVC
27872,"PVC CONDUIT 3"" SCHEDULE-40",CONDUIT - PVC
27873,"PVC CONDUIT 1"" SCHEDULE-40",CONDUIT - PVC
27876,4” pvc schedule 40,CONDUIT - PVC
27877,3/4” schedule 40 pvc,CONDUIT - PVC
27881,1” pvc schedule 40,CONDUIT - PVC
27912,2” Car Flex,CONDUIT - FLEX
27929,1/2” EMT,CONDUIT - EMT
27946,3” EMT,CONDUIT - EMT
27965,"3"" EMT ",CONDUIT - EMT
27976,3” Aluminum Rigid Conduit,CONDUIT - GRC
27982,"1/2"" GRC",CONDUIT - GRC
27988,3/4” RED EMT,CONDUIT - EMT
27989,1” EMT RED,CONDUIT - EMT
27998,3/4” EMT MINI’s,CONDUIT - EMT
27999,1” EMT MINI’s,CONDUIT - EMT
28022,3/4” GRC,CONDUIT - GRC
28079,Red Emt 1”,CONDUIT - EMT
28102,1'' EMT,CONDUIT - EMT
28104,3'' PVC COND,CONDUIT - PVC
28105,2'' PVC COND,CONDUIT - PVC
28106,"REEL, 3/4"" CARFLEX LIQUIDTIGH",CONDUIT - FLEX
28133,"REEL, 1"" CARFLEX LIQUIDTIGHT ",CONDUIT - FLEX
28143,3/4” Carflex Nonmetallic ,CONDUIT - FLEX
28174,"[GRC/RMC] 1 1/4"", 10' Sticks",CONDUIT - GRC
28178,4”EMT,CONDUIT - EMT
28186,1” schedule 40 pvc,CONDUIT - PVC
28229,1/2” sealtight,CONDUIT - FLEX
28236,3/4” emt,CONDUIT - EMT
28272,1 1/2” flex,CONDUIT - FLEX
28297,1/2” carflex,CONDUIT - FLEX
28323,1/2” steel flex,CONDUIT - FLEX
28324,3/4” steel flex,CONDUIT - FLEX
28325,1” steel flex,CONDUIT - FLEX
28374,1 1/2” emt,CONDUIT - EMT
28375,2” emt,CONDUIT - EMT
28388,3/4” car flex,CONDUIT - FLEX
28449,4” schedule 40 pvc,CONDUIT - PVC
28463,1/2” car flex,CONDUIT - FLEX
28481,3” schedule 40 PVC,CONDUIT - PVC
28515,3/4” carflex,CONDUIT - FLEX
28525,3/4” emt ,CONDUIT - EMT
28530,1” red emt,CONDUIT - EMT
28535,2” pvc achedule 40,CONDUIT - PVC
28582,3/4” red emt,CONDUIT - EMT
28608,2” ridig conduit,UNK
28612,3” pvc scjedule 40,CONDUIT - PVC
28622,1/2” metal flex,CONDUIT - FLEX
28635,1 1/2” pvc,CONDUIT - PVC
28655,1/2” flex Steel,CONDUIT - FLEX
28700,3/4” pvc,CONDUIT - PVC
28730,LQT NM0751000RL 3/4-IN-FLEX-NM,CONDUIT - FLEX
28743,1 1/4” emt,CONDUIT - EMT
28792,"PVC 3/4"" CONDUIT",CONDUIT - PVC
28793,EMT 3/4 PIPE,CONDUIT - EMT
28846,LQT NM050100CL 1/2-FLEX-NM-LIQ,CONDUIT - FLEX
28859,"2 1/2"" Sealtite Flex",CONDUIT - FLEX
28876,"3 1/2"" Sealtite Flex",CONDUIT - FLEX
28878,"3"" Sealtite Flex",CONDUIT - FLEX
28904,"[ENT] 3/4"", 250'",CONDUIT - ENT
28913,1” Sealtight,CONDUIT - FLEX
29288,ELB GRC4001114 4IN GAL 11-1/4,CONDUIT - GRC
29309,"1/2"" PVC Conduit, 10', Schedu",CONDUIT - PVC
29320,"1-1/4"" PVC (10' sticks)",CONDUIT - PVC
29321,"1-1/4"" PVC (20' sticks)",CONDUIT - PVC
29326,1 1/2in pvc pipe 20' lengths,CONDUIT - PVC
29327,1in pvc pipe 20' lengths,CONDUIT - PVC
29330,"1"" PVC (20' sticks)",CONDUIT - PVC
29333,"1/2"" PVC Conduit",CONDUIT - PVC
29346,"1"" PVC (20' length)",CONDUIT - PVC
29364,"2"" PVC SCH80",CONDUIT - PVC
29377,"1"" PVC Conduit, 20', Schedule ",CONDUIT - PVC
29378,"1-1/4"" PVC Conduit, 20', Sched",CONDUIT - PVC
29381,"PVC Conduit, Schedule 40, 3"" D",CONDUIT - PVC
29382,"PVC Conduit, Schedule 80, 1"" D",CONDUIT - PVC
29403,"PVC 4"" CONDUIT SCH 40 20'",CONDUIT - PVC
29428,"PVC Conduit, 3/4"", 20', Sched",CONDUIT - PVC
29429,"1"" PVC Conduit, 20', Schedule",CONDUIT - PVC
29441,"1"" sealtight",CONDUIT - FLEX
29450,"1/2"" car flex",CONDUIT - FLEX
29488,"IMC Conduit, 3/4"", Galvanized ",CONDUIT - GRC
29535,"EMT Conduit, 1-1/4"", Steel, 1",CONDUIT - EMT
29617,"Arlington 818 ARL 818 4"" EMT S",CONDUIT - EMT
29646,3/4 LT FLEX,CONDUIT - FLEX
29649,"3/4"" CONDUIT - EMT",CONDUIT - EMT
29662,"1""     CONDUIT - EMT",CONDUIT - EMT
29686,EGS TCI-502 3/4 IN EMT SSCR CO,CONDUIT - EMT
29698,1-1/2 metal flex,CONDUIT - FLEX
29699,1-1/4 metal flex,CONDUIT - FLEX
29715,"1-1/2"" x 5"" Galvanized Conduit",CONDUIT - GRC
29725,"3/4"" Carflex® Black Liquidtigh",CONDUIT - FLEX
29758,"EMT Pipe 3/4""",CONDUIT - EMT
29811,"1/2"" flex",CONDUIT - FLEX
29829,"1"" carflex",CONDUIT - FLEX
30326,"[PVC] 4"", Schedule 80, 10' Sti",CONDUIT - PVC
30397,1 in. x 10 ft. PVC Schedule 40,CONDUIT - PVC
30430,"3/4"" GRC ",CONDUIT - GRC
30432,"1-1/4"" GRC ",CONDUIT - GRC
30437,"[PVC] 3"", Schedule 80, 10' Sti",CONDUIT - PVC
30438,"[PVC] 3"", Schedule 80, 10' St",CONDUIT - PVC
30450,3/4 PVC,CONDUIT - PVC
30458,"1 1/2"" GRC CONDUIT 10FT STICK",CONDUIT - GRC
30463,"[PVC] 1"", Schedule 80, 10' St",CONDUIT - PVC
30479,1' PVC CONDUIT SCHEDULE 40,CONDUIT - PVC
30485,"1"" PVC CONDUIT",CONDUIT - PVC
30546,3/4 EMT CONDUIT,CONDUIT - EMT
30547,"1"" EMT CONDUIT",CONDUIT - EMT
30548,1-1/4 EMT CONDUIT,CONDUIT - EMT
30549,1-1/2 EMT CONDUIT,CONDUIT - EMT
30550,"2"" EMT CONDUIT",CONDUIT - EMT
30572,"1"" EMT ",CONDUIT - EMT
30604,"1-1/2"" EMT",CONDUIT - EMT
30607,"2-1/2"" GRC",CONDUIT - GRC
30617,"1-1/4"" GRC",CONDUIT - GRC
30622,"3/4"" GRC",CONDUIT - GRC
30628,"2"" GRC",CONDUIT - GRC
30896,3/4” Emt To flex Combonation c,CONDUIT - FLEX
30904,"[PVC] 1"", Schedule 40, 20' Sti",CONDUIT - PVC
30986,2 X CLOSE-GALVANIZED CONDUIT N,CONDUIT - GRC
31061,"3/4"" Minni's for EMT ",CONDUIT - EMT
31137,"2 1/2"" EMT CONDUIT",CONDUIT - EMT
31188,"EMT 2 1/2"" CONDUIT",CONDUIT - EMT
31241,"3"" CARFLEX",CONDUIT - FLEX
31262,CONDUIT 3/4IN EF/LT LIQ-TITE G,CONDUIT - FLEX
31313,200' of 1/2 greenfield flex,CONDUIT - FLEX
31317,"1"" greenfield flex (50')",CONDUIT - FLEX
31337,"3/4"" LIQUID TIGHT CONDUIT",CONDUIT - FLEX
31340,"3/4"" EMT CONDUITS SILVER",CONDUIT - EMT
31341,"3/4"" RIGID CONDUITS",CONDUIT - GRC
31350,"3/4"" RIGID CONDUIT",CONDUIT - GRC
31353,"3/4"" FMC FLEX",CONDUIT - FLEX
31354,"1"" FMC FLEX",CONDUIT - FLEX
31363,"CONDUIT-EMT 1""",CONDUIT - EMT
31378,ARLINGTON EMT75,CONDUIT - EMT
31379,ARLINGTON EMT100,CONDUIT - EMT
31400,"1/2"" FLEX FMC",CONDUIT - FLEX
31405,"1"" CARFLEX",CONDUIT - FLEX
31420,"3/4""X100'ALUM FLEX CONDUIT",CONDUIT - FLEX
31434,"3/4"" CARFLEX",CONDUIT - FLEX
31457,"1/2""EMT CONDUIT",CONDUIT - EMT
31476,1” carflex,CONDUIT - FLEX
31483,"3/4"" EMT CONDUIT`",CONDUIT - EMT
31511,"2"" EMT CONDUITS",CONDUIT - EMT
31528,"3"" emt conduit",CONDUIT - EMT
31944,Panduit ST35-075-66WH PVC Ele,CONDUIT - PVC
31945,Panduit ST35-075-66GR PVC Ele,CONDUIT - PVC
32044,"1"" PVC SCH 40",CONDUIT - PVC
32077,"1"" pvc LB",CONDUIT - PVC
32078,"EMT 1"" Pipe",CONDUIT - EMT
32095,"3/4"" pvc scedule 40",CONDUIT - PVC
32101,"3/4"" pvc M/A's",CONDUIT - PVC
32109,"1"" pvc",CONDUIT - PVC
32313,Thomas & Betts XJG28-EMT 3/4 ,CONDUIT - EMT
32314,Thomas & Betts XJG38-EMT 1 EM,CONDUIT - EMT
32371,Thomas & Betts XJG38-EMT 1 EMT,CONDUIT - EMT
32413,"3/4"" Steel Thinwall Conduit (",CONDUIT - GRC
32422,3/4-RIGID CONDUIT,CONDUIT - GRC
32669,"1/2"" emt",CONDUIT - EMT
32691,"3"" flex",CONDUIT - FLEX
32706,"4"" PVC MA",CONDUIT - PVC
32713,"1"" PVC pipe",CONDUIT - PVC
32714,"1""PVC MA",CONDUIT - PVC
32729,"1/2"" EMT pipe",CONDUIT - EMT
32730,"3/4"" EMT pipe",CONDUIT - EMT
32778,"1-1/2"" EMT pipe",CONDUIT - EMT
32826,"1/2"" flex FMC",CONDUIT - FLEX
32849,Halex 5/16 in. Flexible Metal ,CONDUIT - FLEX
32878,"1"" rigid conduit",CONDUIT - GRC
32884,"1"" flex",CONDUIT - FLEX
32911,"3/4"" flex",CONDUIT - FLEX
32953,"3/4"" threaded LB metal conduit",UNK
33201,HALEX 3/8 IN. FLEXIBLE METAL C,CONDUIT - FLEX
33319,DYNA FLEX,CONDUIT - FLEX
33378,"4"" pvc sch 40",CONDUIT - PVC
33379,"3"" pvc Sch 40",CONDUIT - PVC
33388,"10' 2"" PVC sch 40",CONDUIT - PVC
33407,"10'   4"" sch 80 pvc",CONDUIT - PVC
33423,"ipex PP3540    2"" pvc poly plu",CONDUIT - PVC
33429,"2"" pvc sch 40",CONDUIT - PVC
33430,"ipex PP3540    2"" pvc poly pl",CONDUIT - PVC
33437,"3"" pvc sch 40",CONDUIT - PVC
33448,"PVC Conduit, 4"", 20', Schedule",CONDUIT - PVC
33462,"2"" pvc schedule 40",CONDUIT - PVC
33463,"1 1/4"" pvc schedule 40",CONDUIT - PVC
33479,"2"" pvc LB",CONDUIT - PVC
33497,1 1/4 pvc,CONDUIT - PVC
33515,"1"" pvc TA",CONDUIT - PVC
33521,"2"" PVC TA",CONDUIT - PVC
33527,"1 1/2"" pvc",CONDUIT - PVC
33572,"2"" EMT ",CONDUIT - EMT
33580,"2-1/2"" EMT ",CONDUIT - EMT
33582,1 1/2 in emt,CONDUIT - EMT
33614,4” emt ,CONDUIT - EMT
33615,3 ½” emt ,CONDUIT - EMT
33616,2 ½” emt ,CONDUIT - EMT
33617,2” emt ,CONDUIT - EMT
33618,1 ½” emt ,CONDUIT - EMT
33638,1/2 emt,CONDUIT - EMT
33695,1-1/2 EMT QT 1-1/4,CONDUIT - EMT
33715,"1 1/2"" emt",CONDUIT - EMT
33773,"1"" pvc sch 40",CONDUIT - PVC
33774,"1 1/4"" pvc sch 40",CONDUIT - PVC
33809,"Bridgeport 61-DC  1/2"" emt pul",CONDUIT - EMT
33844,1 1/4 emt,CONDUIT - EMT
33880,"1/2"" EMT (Minis)",CONDUIT - EMT
33887,"1"" EMT (Minis)",CONDUIT - EMT
33921,"3/4"" EMT (Minis)",CONDUIT - EMT
33954,Calbrite S62000MH00 CONDUIT MI,UNK
34009,1 1/2  EMT,CONDUIT - EMT
34023,118 ADJ 582047 BPT280SP1/2EMT,CONDUIT - EMT
34024,118 ADJ 582047 BPT280SP 1/2EMT,CONDUIT - EMT
34073,"2 1/2"" flex",CONDUIT - FLEX
34076,"2"" flex",CONDUIT - FLEX
34094,Bridgeport® Knockout Conduit ,UNK
34109,1 1/2 NPT IRON C FORM 7 CNDT B,UNK
34115,"1 1/2"" flex  (greenfield)",CONDUIT - FLEX
34120,"2-1/2"" EMT 10'",CONDUIT - EMT
34124,"4"" flex",CONDUIT - FLEX
34127,3/4 flex aluminum,CONDUIT - FLEX
34201,"1 1/2"" flex",CONDUIT - FLEX
34216,"3"" Emt",CONDUIT - EMT
34217,3 1/2 emt,CONDUIT - EMT
34230,FLX ALC150RW25CL 1-1/2-FLEX-AL,CONDUIT - FLEX
34231,EMT 150 1-1/2X10FT-EMT,CONDUIT - EMT
34271,"4"" flex (greenfeild)",CONDUIT - FLEX
34328,"1 1/4"" emt",CONDUIT - EMT
34334,"1 1/2"" flex (greenfeild)",CONDUIT - FLEX
34385,"2 1/2"" emt LB",CONDUIT - EMT
34390,"1/2"" emt pulling L",CONDUIT - EMT
34391,"3/4"" emt pulling L",CONDUIT - EMT
34402,"1 1/2"" emt LB  (eaton LB55-CGN",CONDUIT - EMT
34403,3/4 flex (greenfield),CONDUIT - FLEX
34404,"1/2"" flex (greenfield)",CONDUIT - FLEX
34423,"4"" flex (greenfield)",CONDUIT - FLEX
34527,FLX ALC200RW25CL 2-IN-FLEX-ALU,CONDUIT - FLEX
34561,"3/4"" car flex",CONDUIT - FLEX
34607,1 1/4 pvc ta,CONDUIT - PVC
34624,"1 1/4""pvc TA",CONDUIT - PVC
34660,1 1/2 pvc schedule 40,CONDUIT - PVC
34664,1 1/2 pvc ta,CONDUIT - PVC
34674,FLX ALC250RW-CUT 2-1/2-FLEX-AL,CONDUIT - FLEX
34714,EMT 050 1/2X10FT-EMT,CONDUIT - EMT
34827,1-IN L/T FLEX PVC,CONDUIT - FLEX
34844,EMT 125 1-1/4X10FT-EMT,CONDUIT - EMT
34847,EMT 250 2-1/2X10FT-EMT,CONDUIT - EMT
34848,PVC 200 2-IN-PVC-SCHED-40-COND,CONDUIT - PVC
34964,1-1/4-ALUMINUM FLEXIBLE CONDUI,CONDUIT - FLEX
34965,1-ALUMINUM FLEXIBLE CONDUIT,CONDUIT - FLEX
34979,3/4 emt mineralac,CONDUIT - EMT
35065,"EMT Conduit, 3-1/2"", Galvanize",CONDUIT - EMT
35155,10/2 mc pvc jacket,CONDUIT - PVC
35171,8/3 PVC coated MC,CONDUIT - PVC
35489,"1 1/2"" emt mineralac",CONDUIT - EMT
35588,"2"" emt mineralac",CONDUIT - EMT
35636,arlington EMT75,CONDUIT - EMT
35823,"3/4"" pvc LBs",CONDUIT - PVC
35840,"[PVC] 6"", Schedule 80, 10' Sti",CONDUIT - PVC
35849,"5"" Schedule 40 PVC",CONDUIT - PVC
35850,"4"" Schedule 40 PVC",CONDUIT - PVC
35851,"3"" Schedule 40 PVC",CONDUIT - PVC
35852,"2"" Schedule 40 PVC",CONDUIT - PVC
35853,"1 1/2"" Schedule 40 PVC",CONDUIT - PVC
35854,"1"" Schedule 40 PVC",CONDUIT - PVC
35855,"3/4"" Schedule 40 PVC",CONDUIT - PVC
35875,1-1/4” Pvc Conduit,CONDUIT - PVC
35908,1”Pvc Conduit,CONDUIT - PVC
35917,1-1/4” PVC conduit,CONDUIT - PVC
35926,1/2” Pvc Conduit,CONDUIT - PVC
35933,"2-1/2"" PVC Conduit, 10', Sche",CONDUIT - PVC
35958,"3/4"" smurf gray 1000' reels",CONDUIT - ENT
35959,"1"" smurf gray 750' reels",CONDUIT - ENT
35962,"1"" smurf gray",CONDUIT - ENT
35963,"3/4"" smurf gray",CONDUIT - ENT
36041,"1"" GRAY ENT 750' SPOOL",CONDUIT - ENT
36042,"3/4"" GRAY ENT 1000' SPOOL",CONDUIT - ENT
36058,"3/4"" GRAY ENT tubing",CONDUIT - ENT
36063,"4"" schedule 40 PVC",CONDUIT - PVC
36064,"1"" schedule 40 PVC",CONDUIT - PVC
36070,"2"" schedule 40 PVC",CONDUIT - PVC
36085,pvc conduit 1,CONDUIT - PVC
36091,"2"" EMT Conduit, 10'",CONDUIT - EMT
36098,"1"" Sch 40 PVC Conduit",CONDUIT - PVC
36099,3/4 BLUE ENT COND,CONDUIT - ENT
36102,1 750R ENT UL BL KWIKON RL PCO,CONDUIT - ENT
36106,"200 10' 1"" PVC schedule 40",CONDUIT - PVC
36107,"100 10' 4"" PVC schedule 40",CONDUIT - PVC
36119,"1"" scedule 40 PVC conduit",CONDUIT - PVC
36120,"2"" gray ENT tubing",CONDUIT - ENT
36122,"1"" gray ENT tubing",CONDUIT - ENT
36125,"2"" PVC Conduit, 20', Schedule",CONDUIT - PVC
36126,"PVC Conduit, Schedule 40, 6"" ",CONDUIT - PVC
36129,"1/2"" blue ENT",CONDUIT - ENT
36132,"3/4"" schedule 40 PVC",CONDUIT - PVC
36134,"3"" schedule 80 PVC",CONDUIT - PVC
36146,"10' rigid conduit 3""",CONDUIT - GRC
36237,1” ENT  conduit,CONDUIT - ENT
36246,1” Smurf,CONDUIT - ENT
36247,3/4”Smurf,CONDUIT - ENT
36263,"3/4"" Smurf",CONDUIT - ENT
36271,"1-1/2"" Carflex  ",CONDUIT - FLEX
36289,"3/4"" ENT( Smurf Tube Rated for",CONDUIT - ENT
36307,EMT4 - CONDUIT - EMT 4IN,CONDUIT - EMT
36309,EMT3 - CONDUIT - EMT 3IN,CONDUIT - EMT
36311,EMT2 - CONDUIT - EMT 2IN,CONDUIT - EMT
36312,EMT1 - CONDUIT - EMT 1IN,CONDUIT - EMT
36313,EMT34 - CONDUIT - EMT 3/4IN,CONDUIT - EMT
36334,"3/4"" gray ENT",CONDUIT - ENT
36335,"1"" gray ENT",CONDUIT - ENT
36355,"EMT Conduit, 1-1/2"", Galvaniz",CONDUIT - EMT
36453,"4"" EMT PIPE",CONDUIT - EMT
36647,"1"" ENT , Gray tube",CONDUIT - ENT
36666,3/4 Inch. ENT To 3/4 Inch. EMT,CONDUIT - ENT
36667,1 Inch. ENT To 1 Inch. EMT Non,CONDUIT - ENT
36673,3/4 Inch. ENT To 3/4 Inch. EM,CONDUIT - ENT
36684,"1/2"" BLUE ENT",CONDUIT - ENT
36691,EMT 4X 22-1/2,CONDUIT - EMT
36695,"5 1000' spools blue 3/4"" ENT",CONDUIT - ENT
36702,"6 750' spools 1"" gray ENT",CONDUIT - ENT
36712,"1/2"" EMT CONDUIT",CONDUIT - EMT
36741,"3/4"" Metal flexible conduit",CONDUIT - FLEX
36793,"1/2"" METAL ALUMINUN FLEX",CONDUIT - FLEX
36796,"Flexible Metal Conduit, 3/4""",CONDUIT - FLEX
36805,"3/4"" Carflex",CONDUIT - FLEX
36809,"1"" EMT conduit",CONDUIT - EMT
36831,"3/8"" super flexible metallic c",CONDUIT - FLEX
36839,"3/4"" rigid conduit",CONDUIT - GRC
36841,"3/4"" carflex  ",CONDUIT - FLEX
36865,"3/8"" super flex flexible metal",CONDUIT - FLEX
36892,"3/4"" blue ENT",CONDUIT - ENT
36946,"1/2"" ENT",CONDUIT - ENT
36954,"Aluminum Flex, 3/8"", 250' Reel",CONDUIT - FLEX
36986,"3/8"" aluminum Superflex",CONDUIT - FLEX
36989,"EMT 1 1/2"" Pipe",CONDUIT - EMT
36992,"1/2"" Blue ENT",CONDUIT - ENT
36993,"4"" PVC Conduit SQ 40",CONDUIT - PVC
37037,"2 1/2"" EMT conduit",CONDUIT - EMT
37062,"Carlon 1/2ENT - 1/2"" ENT Non-M",CONDUIT - ENT
37066,"3/4"" ENT CONDUICT BLUE",CONDUIT - ENT
37080,"BLUE 3/4"" ENT",CONDUIT - ENT
37081,"BLUE 1/2"" ENT",CONDUIT - ENT
37096,"10' 1 1/2"" rigid conduit",CONDUIT - GRC
37106,"2"" aluminum flex",CONDUIT - FLEX
37118,"3/4"" aluminum flex",CONDUIT - FLEX
37119,"1"" aluminum flex",CONDUIT - FLEX
37127,"1"" flexible metallic tubing al",CONDUIT - FLEX
37129,"3/4"" flexible metallic tubing ",CONDUIT - FLEX
37139,"3/4"" BLUE ENT smurf",CONDUIT - ENT
37155,"3"" metallic flex",CONDUIT - FLEX
37158,"1/2"" flexible metallic conduit",CONDUIT - FLEX
37171,"3/4"" BLUE ENT",CONDUIT - ENT
37292,"2"" metallic flex",CONDUIT - FLEX
37298,"4"" metallic flex",CONDUIT - FLEX
37303,"1/2"" metallic flexible conduit",CONDUIT - FLEX
37305,"3/4"" metallic flexible conduit",CONDUIT - FLEX
37385,"1"" Smurf",CONDUIT - ENT
37428,3/4 blue PVC ENT,CONDUIT - ENT
37431,1-1/2 EMT COUNDUITS,CONDUIT - EMT
37483,KYL 012011  3/4INX1000FT ENT U,CONDUIT - ENT
37511,KYL 012021  1INX750FT ENT UL K,CONDUIT - ENT
37586,"3/4"" EMT CONDUITS",CONDUIT - EMT
37604,"3/4""EMT",CONDUIT - EMT
37627,"3/4"" flex st",CONDUIT - FLEX
37648,1/2 X CLOSE-GALVANIZED CONDUIT,CONDUIT - GRC
37679,"1/2"" ENT BLUE SMURFS",CONDUIT - ENT
37686,EMT 400 ARLINGTON,CONDUIT - EMT
37687,EMT 200 ARLINGTON,CONDUIT - EMT
37688,EMT 75 ARLINGTON,CONDUIT - EMT
37689,EMT 100 ARLINGTON,CONDUIT - EMT
37725,KYL 012002  1/2INX1500FT ENT U,CONDUIT - ENT
37745,GRC 075 3/4-GALV-STEEL,CONDUIT - GRC
37793,FLX ALC075RW100CL 3/4-FLEX-ALU,CONDUIT - FLEX
37891,"1 1/2"" threaded plastic pvc bu",CONDUIT - PVC
37892,"1 1/4"" threaded plastic pvc bu",CONDUIT - PVC
37939,"4"" emt conduits",CONDUIT - EMT
37986,3/4” Emt Conduit,CONDUIT - EMT
37989,4” Carflex,CONDUIT - FLEX
38018,"Carlon 12008-750 Blue ENT, 1""",CONDUIT - ENT
38393,1-1/4 in. Ratcheting PVC Cutte,CONDUIT - PVC
38706,½” EMT conduit,CONDUIT - EMT
38734,"2"" GRC CONDUIT",CONDUIT - GRC
38735,XENTURY,CONDUIT - ENT
38768,HERITAGE PLASTIC PVC-6-20 SCH4,CONDUIT - PVC
38772,"4"" PVC Conduit, 20', Schedule",CONDUIT - PVC
38816,Thomas & Betts Round PVC Floor,CONDUIT - PVC
38913,3/4 PVC PIPE,CONDUIT - PVC
38940,"3/4"" PVC Sch. 80",CONDUIT - PVC
38941,"1"" PVC Sch. 80",CONDUIT - PVC
38942,"1-1/4"" PVC sch. 80",CONDUIT - PVC
38943,"2"" PVC sch. 80",CONDUIT - PVC
38944,"4"" PVC Sch. 80",CONDUIT - PVC
38958,"2-1/2"" PVC",CONDUIT - PVC
38964,"PVC 2 1/2"" SCH40",CONDUIT - PVC
38966,"3/4"" PVC SCHEDULE 40 CONDUIT",CONDUIT - PVC
38967,"2"" SCHEDULE 40 PVC CONDUIT",CONDUIT - PVC
38968,"2"" SCHEDULE 80 PVC CONDUIT",CONDUIT - PVC
38979,"1-1/2"" sch.40 PVC",CONDUIT - PVC
38991,"2"" Sch. 40 PVC",CONDUIT - PVC
39009,"1"" PVC L.B.",CONDUIT - PVC
39010,"2"" Sch.40 PVC",CONDUIT - PVC
39012,"3/4"" sch. 40 PVC",CONDUIT - PVC
39014,"3/4"" PVC sch. 40",CONDUIT - PVC
39025,"3/4"" PVC sch.40",CONDUIT - PVC
39028,"1"" PVC sch.40",CONDUIT - PVC
39041,2 inch PVC schedule 40,CONDUIT - PVC
39046,2 inch pvc schedule 80,CONDUIT - PVC
39048,156PR 15007-CUT REEL 3/4LTFLEX,CONDUIT - FLEX
39112,"1-1/4"" Carflex",CONDUIT - FLEX
39314,"1"" Carflex",CONDUIT - FLEX
39362,"4"" Sch. 40 PVC",CONDUIT - PVC
39529,"3/4"" EMT to greenfield chngeov",CONDUIT - EMT
